PlayerID,GameType,PlayerName,SkillLevel,ForehandAccuracy,BackhandAccuracy,Speed,Stamina,Reflexes,PositionalAwareness,Weakness,PreferredPosition,OpponentName,OpponentSkillLevel,CourtType,RallyLength,ShotsPerRally,WinningShotsRatio,Positioning,ServeStyle,TacticalApproach
1,Singles,PlayerA,Advanced,0.85,0.78,4.5,0.85,0.9,0.92,Stamina,Front,OpponentB,Intermediate,Hard,15,10,0.7,Front,Short,Aggressive at the net
2,Doubles,PlayerB,Intermediate,0.72,0.64,3.8,0.75,0.82,0.8,Backhand,Rear,OpponentD,Beginner,Grass,20,15,0.45,Rear,Long,Focus on longer rallies
3,Doubles,PlayerC,Expert,0.92,0.88,4.9,0.9,0.95,0.95,None,Middle,OpponentE,Intermediate,Hard,22,18,0.7,Middle,Short,Balanced net and baseline
4,Doubles,PlayerD,Advanced,0.88,0.8,4.6,0.88,0.92,0.9,Stamina,Front,OpponentG,Intermediate,Clay,14,11,0.65,Front,Short,Quick net play with opponent weaknesses
5,Singles,PlayerE,Intermediate,0.75,0.68,4,0.78,0.85,0.78,Backhand,Rear,OpponentI,Beginner,Grass,22,14,0.48,Rear,Long,"Patient game, exploit opponent mistakes"
6,Singles,PlayerF,Intermediate,0.78,0.72,4.2,0.8,0.86,0.82,Stamina,Front,OpponentJ,Beginner,Clay,18,12,0.6,Front,Short,Mix of aggression and baseline play
7,Doubles,PlayerG,Advanced,0.88,0.82,4.6,0.87,0.92,0.88,Backhand,Rear,OpponentK,Intermediate,Hard,21,16,0.75,Rear,Long,Aggressive net play with strategic positioning
8,Singles,PlayerH,Expert,0.94,0.9,5,0.92,0.96,0.94,None,Middle,OpponentL,Intermediate,Grass,20,13,0.85,Middle,Short,"Patient game, exploit opponent weaknesses"
9,Doubles,PlayerI,Intermediate,0.75,0.68,4,0.78,0.85,0.78,Backhand,Rear,OpponentM,Beginner,Hard,16,10,0.55,Rear,Long,Balanced net and baseline
10,Singles,PlayerJ,Advanced,0.87,0.8,4.4,0.88,0.91,0.89,Stamina,Front,OpponentN,Intermediate,Clay,19,14,0.68,Front,Short,Quick net play and aggressive baseline shots
11,Doubles,PlayerK,Intermediate,0.77,0.7,4.1,0.79,0.84,0.81,Backhand,Rear,OpponentO,Beginner,Grass,17,12,0.58,Rear,Long,Strategic baseline play with net coverage
12,Singles,PlayerL,Advanced,0.86,0.79,4.3,0.87,0.9,0.88,Stamina,Front,OpponentP,Intermediate,Hard,16,11,0.72,Front,Short,Aggressive net play with fast serves
13,Doubles,PlayerM,Expert,0.94,0.89,5.1,0.93,0.95,0.94,None,Middle,OpponentN,Intermediate,Clay,23,19,0.78,Middle,Short,"Versatile gameplay, adapting to opponents"
14,Singles,PlayerN,Intermediate,0.76,0.71,4,0.78,0.83,0.8,Backhand,Rear,OpponentO,Beginner,Hard,18,13,0.65,Rear,Long,Balanced approach with focus on opponent weaknesses
15,Doubles,PlayerO,Advanced,0.85,0.78,4.5,0.85,0.89,0.87,Stamina,Front,OpponentP,Intermediate,Grass,19,15,0.62,Front,Short,Quick net play and coordinated strategies
16,Singles,PlayerP,Intermediate,0.78,0.73,4.2,0.8,0.85,0.82,Backhand,Rear,OpponentQ,Beginner,Clay,20,14,0.55,Rear,Long,Patient baseline game with focus on consistency
17,Doubles,PlayerQ,Advanced,0.87,0.81,4.4,0.86,0.91,0.88,None,Middle,OpponentR,Intermediate,Hard,22,18,0.73,Middle,Short,Aggressive net play with strategic court positioning
18,Singles,PlayerR,Expert,0.93,0.88,5,0.92,0.95,0.93,None,Middle,OpponentS,Intermediate,Grass,19,12,0.8,Middle,Short,"Versatile gameplay, adapting to opponent's style"
19,Doubles,PlayerS,Intermediate,0.76,0.7,4.1,0.78,0.83,0.8,Backhand,Rear,OpponentT,Beginner,Hard,15,10,0.6,Rear,Long,Balanced net and baseline strategies
